2025-01-20 13:17:01.242 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-20 13:17:01.245 | INFO     | __main__:main:103 - START producer.
2025-01-20 13:17:01.245 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-01-20 13:17:01.252 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-01-20 13:17:01.252 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-20 13:17:03.507 | ERROR    | utils.utils_producer:check_kafka_service_is_ready:102 - Error checking Kafka: NodeNotReadyError
2025-01-20 13:17:03.530 | ERROR    | utils.utils_producer:verify_services:121 - Kafka broker is not ready. Please check your Kafka setup. Exiting...
2025-01-22 15:10:44.100 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-22 15:10:44.102 | INFO     | __main__:main:78 - START consumer.
2025-01-22 15:10:44.102 | INFO     | __main__:get_kafka_topic:35 - Kafka topic: buzzline_topic
2025-01-22 15:10:44.103 | INFO     | __main__:get_kafka_consumer_group_id:42 - Kafka consumer group ID: kersha_group
2025-01-22 15:10:44.103 | INFO     | __main__:main:83 - Consumer: Topic 'buzzline_topic' and group 'kersha_group'...
2025-01-22 15:10:44.103 | INFO     | utils.utils_consumer:create_kafka_consumer:44 - Creating Kafka consumer. Topic='buzzline_topic' and group ID='kersha_group'.
2025-01-22 15:10:44.223 | INFO     | utils.utils_consumer:create_kafka_consumer:57 - Kafka consumer created successfully.
2025-01-22 15:10:44.224 | INFO     | __main__:main:89 - Polling messages from topic 'buzzline_topic'...
2025-01-22 15:13:17.257 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-22 15:13:17.258 | INFO     | __main__:main:99 - START producer.
2025-01-22 15:13:17.258 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:28 - Checking Zookeeper service at localhost:2181...
2025-01-22 15:13:18.600 | INFO     | utils.utils_producer:verify_services:60 - Zookeeper and Kafka services are ready.
2025-01-22 15:13:18.602 | INFO     | __main__:get_kafka_topic:42 - Kafka topic: buzzline_topic
2025-01-22 15:13:18.603 | INFO     | __main__:get_message_interval:49 - Message interval: 2 seconds
2025-01-22 15:13:18.717 | INFO     | utils.utils_producer:create_kafka_producer:71 - Kafka producer created with broker: localhost:9092
2025-01-22 15:13:19.053 | INFO     | utils.utils_producer:create_kafka_topic:92 - Kafka topic 'buzzline_topic' already exists.
2025-01-22 15:13:19.054 | INFO     | __main__:main:115 - Kafka topic 'buzzline_topic' is ready.
2025-01-22 15:13:19.055 | INFO     | __main__:main:121 - Starting dynamic message production to topic 'buzzline_topic'...
2025-01-22 15:13:19.056 | INFO     | __main__:generate_dynamic_messages:72 - Generated message: Dynamic Message 0: Timestamp - 2025-01-22T15:13:19.056820
2025-01-22 15:13:19.058 | INFO     | __main__:generate_dynamic_messages:74 - Sent message to topic 'buzzline_topic': Dynamic Message 0: Timestamp - 2025-01-22T15:13:19.056820
2025-01-22 15:13:19.080 | ERROR    | __main__:main:98 - Error while consuming messages: 'str' object has no attribute 'decode'
2025-01-22 15:13:19.116 | INFO     | __main__:main:101 - Kafka consumer for topic 'buzzline_topic' closed.
2025-01-22 15:13:19.118 | INFO     | __main__:main:103 - END consumer for topic 'buzzline_topic' and group 'kersha_group'.
2025-01-22 15:13:21.063 | INFO     | __main__:generate_dynamic_messages:72 - Generated message: Dynamic Message 1: Timestamp - 2025-01-22T15:13:21.063788
2025-01-22 15:13:21.067 | INFO     | __main__:generate_dynamic_messages:74 - Sent message to topic 'buzzline_topic': Dynamic Message 1: Timestamp - 2025-01-22T15:13:21.063788
2025-01-22 15:13:23.069 | INFO     | __main__:generate_dynamic_messages:72 - Generated message: Dynamic Message 2: Timestamp - 2025-01-22T15:13:23.069923
2025-01-22 15:13:23.074 | INFO     | __main__:generate_dynamic_messages:74 - Sent message to topic 'buzzline_topic': Dynamic Message 2: Timestamp - 2025-01-22T15:13:23.069923
2025-01-22 15:13:25.076 | INFO     | __main__:generate_dynamic_messages:72 - Generated message: Dynamic Message 3: Timestamp - 2025-01-22T15:13:25.076304
2025-01-22 15:13:25.078 | INFO     | __main__:generate_dynamic_messages:74 - Sent message to topic 'buzzline_topic': Dynamic Message 3: Timestamp - 2025-01-22T15:13:25.076304
2025-01-22 15:13:27.080 | INFO     | __main__:generate_dynamic_messages:72 - Generated message: Dynamic Message 4: Timestamp - 2025-01-22T15:13:27.080592
2025-01-22 15:13:27.084 | INFO     | __main__:generate_dynamic_messages:74 - Sent message to topic 'buzzline_topic': Dynamic Message 4: Timestamp - 2025-01-22T15:13:27.080592
2025-01-22 15:13:29.087 | INFO     | __main__:generate_dynamic_messages:72 - Generated message: Dynamic Message 5: Timestamp - 2025-01-22T15:13:29.087463
2025-01-22 15:13:29.091 | INFO     | __main__:generate_dynamic_messages:74 - Sent message to topic 'buzzline_topic': Dynamic Message 5: Timestamp - 2025-01-22T15:13:29.087463
2025-01-22 15:13:31.092 | INFO     | __main__:generate_dynamic_messages:72 - Generated message: Dynamic Message 6: Timestamp - 2025-01-22T15:13:31.092801
2025-01-22 15:13:31.098 | INFO     | __main__:generate_dynamic_messages:74 - Sent message to topic 'buzzline_topic': Dynamic Message 6: Timestamp - 2025-01-22T15:13:31.092801
2025-01-22 15:13:33.139 | INFO     | __main__:generate_dynamic_messages:72 - Generated message: Dynamic Message 7: Timestamp - 2025-01-22T15:13:33.139131
2025-01-22 15:13:33.142 | INFO     | __main__:generate_dynamic_messages:74 - Sent message to topic 'buzzline_topic': Dynamic Message 7: Timestamp - 2025-01-22T15:13:33.139131
